Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1176(_ip_int_from_string)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      114    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      127    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.036    0.036 css_parser.py:431(CSSParser)
       89    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
       15    0.000    0.000    0.034    0.002 css_parser.py:308(__init__)
       39    0.000    0.000    0.000    0.000 typing.py:222(_check_generic)
      127    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1713(_parse_hextet)
      127    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      100    0.000    0.000    0.000    0.000 typing.py:702(__eq__)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
      127    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       80    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      127    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      159    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
